Month,Year,County,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code
1,2014,Adams,683098,,,NR
1,2014,Alamosa,,,NR,NL
1,2014,Arapahoe,1188232,,,NL
1,2014,Archuleta,,,NR,NL
1,2014,Baca,,,NL,NL
1,2014,Bent,,,NL,NL
1,2014,Boulder,3417873,,,NL
1,2014,Broomfield,,,NL,NL
1,2014,Chaffee,83714,,,NL
1,2014,Cheyenne,,,NL,NL
1,2014,Clear Creek,143736,459640,,
1,2014,Conejos,,,NL,NL
1,2014,Costilla,,,NR,NL
1,2014,Crowley,,,NL,NL
1,2014,Custer,,,NL,NL
1,2014,Delta,,,NL,NL
1,2014,Denver,15351083,8482593,,
1,2014,Dolores,,,NL,NL
1,2014,Douglas,,,NL,NL
1,2014,Eagle,203060,,,NL
1,2014,Elbert,,,NL,NL
1,2014,El Paso,4923633,,,NL
1,2014,Fremont,134388,,,NL
1,2014,Garfield,396086,,,NR
1,2014,Gilpin,28798,197379,,
1,2014,Grand,,,NR,NL
1,2014,Gunnison,36244,,,NR
1,2014,Hinsdale,,,NL,NL
1,2014,Huerfano,,,NL,NL
1,2014,Jackson,,,NL,NL
1,2014,Jefferson,1979386,853675,,
1,2014,Kiowa,,,NL,NL
1,2014,Kit Carson,,,NL,NL
1,2014,Lake,,,NL,NR
1,2014,La Plata,523193,,,NL
1,2014,Larimer,964948,,,NL
1,2014,Las Animas,,,NL,NL
1,2014,Lincoln,,,NL,NL
1,2014,Logan,,,NL,NL
1,2014,Mesa,,,NR,NL
1,2014,Mineral,,,NL,NL
1,2014,Moffat,,,NR,NL
1,2014,Montezuma,100634,,,NL
1,2014,Montrose,,,NR,NL
1,2014,Morgan,,,NL,NL
1,2014,Otero,,,NL,NL
1,2014,Ouray,,,NR,NR
1,2014,Park,,,NR,NR
1,2014,Phillips,,,NL,NL
1,2014,Pitkin,194865,,,NL
1,2014,Prowers,,,NL,NL
1,2014,Pueblo,419894,,,NR
1,2014,Rio Blanco,,,NL,NL
1,2014,Rio Grande,,,NL,NL
1,2014,Routt,239509,,,NR
1,2014,Saguache,,,NL,NL
1,2014,San Juan,,,NL,NL
1,2014,San Miguel,164384,338934,,
1,2014,Sedgwick,,,NR,NL
1,2014,Summit,271441,1274208,,
1,2014,Teller,,,NR,NL
1,2014,Washington,,,NL,NL
1,2014,Weld,657150,,,NR
1,2014,Yuma,,,NL,NL
1,2015,Adams,421362,1189877,,
1,2015,Alamosa,,,NR,NL
1,2015,Arapahoe,1493744,1844768,,
1,2015,Archuleta,,,NR,NR
1,2015,Baca,,,NL,NL
1,2015,Bent,,,NL,NL
1,2015,Boulder,2501072,3565252,,
1,2015,Broomfield,,,NL,NL
1,2015,Chaffee,,,NR,NR
1,2015,Cheyenne,,,NL,NL
1,2015,Clear Creek,79640,455108,,
1,2015,Conejos,,,NL,NL
1,2015,Costilla,,,NR,NR
1,2015,Crowley,,,NL,NL
1,2015,Custer,,,NL,NL
1,2015,Delta,,,NL,NL
1,2015,Denver,13374117,15485689,,
1,2015,Dolores,,,NL,NL
1,2015,Douglas,,,NL,NL
1,2015,Eagle,316095,825587,,
1,2015,Elbert,,,NL,NL
1,2015,El Paso,5582451,,,NR
1,2015,Fremont,180201,,,NL
1,2015,Garfield,325730,616641,,
1,2015,Gilpin,31006,112455,,
1,2015,Grand,,,NR,NR
1,2015,Gunnison,,273043,NR,
1,2015,Hinsdale,,,NL,NL
1,2015,Huerfano,,,NL,NL
1,2015,Jackson,,,NL,NL
1,2015,Jefferson,1868844,2108127,,
1,2015,Kiowa,,,NL,NL
1,2015,Kit Carson,,,NL,NL
1,2015,Lake,,,NL,NR
1,2015,La Plata,893330,798627,,
1,2015,Larimer,1141214,1728021,,
1,2015,Las Animas,,224113,NR,
1,2015,Lincoln,,,NL,NL
1,2015,Logan,,,NL,NL
1,2015,Mesa,,,NR,NR
1,2015,Mineral,,,NL,NL
1,2015,Moffat,,,NR,NL
1,2015,Montezuma,114767,,,NR
1,2015,Montrose,,,NR,NL
1,2015,Morgan,,,NR,NR
1,2015,Otero,,,NL,NL
1,2015,Ouray,,,NR,NR
1,2015,Park,,,NR,NR
1,2015,Phillips,,,NL,NL
1,2015,Pitkin,90522,813722,,
1,2015,Prowers,,,NL,NL
1,2015,Pueblo,359950,1063092,,
1,2015,Rio Blanco,,,NL,NL
1,2015,Rio Grande,,,NL,NL
1,2015,Routt,,,NR,NR
1,2015,Saguache,,,NL,NR
1,2015,San Juan,,,NL,NR
1,2015,San Miguel,50579,374588,,
