Month,Year,County,Med_Tax_Rev,Rec_Tax_Rev,Med_RemainderOfState_Counties,Rec_RemainderOfState_Counties,Med_Blank_Code,Rec_Blank_Code
2,2014,Clear Creek,3952,12770,,,,
2,2014,Denver,442941,256756,,,,
2,2014,Gilpin,1269,5380,,,,
2,2014,Jefferson,54443,24416,,,,
2,2014,San Miguel,2319,12121,,,,
2,2014,Summit,7681,37274,,,,
2,2014,Remainder of State,10067,67972,"Alamosa, Archuleta, Costilla, Grand, Lake, Mesa, Moffat, Montrose, Ouray, Park, Sedgwick, and Teller","Adams, Garfield, Lake, Park, Pueblo, Routt, and Weld.",,
3,2014,Clear Creek,2845,12491,,,,
3,2014,Denver,483432,245709,,,,
3,2014,Gilpin,918,6833,,,,
3,2014,Jefferson,55944,24961,,,,
3,2014,Pueblo,14683,15262,,,,
3,2014,San Miguel,5016,5786,,,,
3,2014,Summit,9343,31584,,,,
3,2014,Remainder of State,16668,95627,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Gunnison, Lake, Mesa, Moffat, Montrose, Ouray, Park, Saguache, Sedgwick, and Teller","Adams, Boulder, Garfield, Gunnison, Lake, Ouray, Park, Routt, and Weld",,
4,2014,Boulder,94702,40136,,,,
4,2014,Clear Creek,3982,15972,,,,
4,2014,Denver,489964,295126,,,,
4,2014,Gilpin,970,3968,,,,
4,2014,Jefferson,57720,30120,,,,
4,2014,Pueblo,14555,51330,,,,
4,2014,San Miguel,3177,9620,,,,
4,2014,Summit,6003,29054,,,,
4,2014,Remainder of State,23768,94179,"Alamosa, Archuleta, Chaffee, Costilla, Gunnison, Lake, Mesa, Moffat, Montezuma, Montrose, Ouray, Park, Saguache, and Sedgwick.","Adams, Garfield, Gunnison, Lake, Ouray, Park, Pitkin, Routt, and Weld.",,
5,2014,Boulder,88590,53566,,,,
5,2014,Clear Creek,2632,9153,,,,
5,2014,Denver,421106,384369,,,,
5,2014,Gilpin,1214,3791,,,,
5,2014,Jefferson,67475,39183,,,,
5,2014,Pitkin,4325,6714,,,,
5,2014,Pueblo,11468,32603,,,,
5,2014,San Miguel,1429,6034,,,,
5,2014,Summit,8120,22761,,,,
5,2014,Weld,14716,14974,,,,
5,2014,Remainder of State,19731,66580,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Gunnison, Lake, Mesa, Moffat, Montrose, Ouray, Park, Saguache, Sedgwick, and Teller","Adams, Garfield, Gunnison, Lake, Larimer, Ouray, Park, and Routt.",,
6,2014,Boulder,75248,66999,,,,
6,2014,Clear Creek,2768,11848,,,,
6,2014,Denver,448749,330940,,,,
6,2014,Garfield,14261,8462,,,,
6,2014,Gilpin,1298,3911,,,,
6,2014,Jefferson,51392,40920,,,,
6,2014,Pitkin,4027,5360,,,,
6,2014,Pueblo,13263,41559,,,,
6,2014,San Miguel,1863,7740,,,,
6,2014,Summit,5659,31904,,,,
6,2014,Weld,14504,20016,,,,
6,2014,Remainder of State,16146,72464,"Alamosa, Archuleta, Costilla, Grand, Gunnison, Lake, Mesa, Moffat, Montrose, Ouray, Park, and Sedgwick.","Adams, Eagle, Gunnison, Lake, Larimer, Ouray, Park, and Routt.",,
7,2014,Boulder,63803,77019,,,,
7,2014,Clear Creek,2747,11442,,,,
7,2014,Denver,378415,366377,,,,
7,2014,Garfield,11069,11409,,,,
7,2014,Gilpin,1269,5234,,,,
7,2014,Jefferson,49197,40723,,,,
7,2014,Pitkin,2363,9296,,,,
7,2014,Pueblo,8823,50988,,,,
7,2014,San Miguel,2035,9295,,,,
