stateabbrv,statename,stfips,areaname,areatype,areatyname,area,periodyear,periodtype,pertypdesc,period,adjusted,prelim,benchmark,laborforce,emplab,unemp,unemprate
CO,Colorado,8,Colorado,1,State,0,1990,1,Annual,0,0,0,2018,1763683,1671823,91860,5.2
CO,Colorado,8,Colorado,1,State,0,1990,1,Annual,0,1,1,2018,1763139,1671092,92047,5.2
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,1,0,0,2018,1720391,1614055,106336,6.2
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,1,1,1,2018,1736587,1643233,93354,5.4
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,2,0,0,2018,1722103,1620326,101777,5.9
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,2,1,1,2018,1742520,1649883,92637,5.3
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,3,0,0,2018,1725274,1625399,99875,5.8
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,3,1,1,2018,1748100,1655884,92216,5.3
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,4,0,0,2018,1723658,1633444,90214,5.2
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,4,1,1,2018,1753317,1661077,92240,5.3
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,5,0,0,2018,1742796,1654149,88647,5.1
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,5,1,1,2018,1758442,1665862,92580,5.3
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,6,0,0,2018,1789697,1692156,97541,5.5
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,6,1,1,2018,1763323,1670386,92937,5.3
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,7,0,0,2018,1800203,1709594,90609,5
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,7,1,1,2018,1768034,1675050,92984,5.3
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,8,0,0,2018,1796504,1710442,86062,4.8
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,8,1,1,2018,1772470,1679890,92580,5.2
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,9,0,0,2018,1793905,1707931,85974,4.8
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,9,1,1,2018,1776112,1684219,91893,5.2
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,10,0,0,2018,1794095,1711763,82332,4.6
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,10,1,1,2018,1778443,1687317,91126,5.1
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,11,0,0,2018,1778823,1692286,86537,4.9
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,11,1,1,2018,1779758,1689400,90358,5.1
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,12,0,0,2018,1776744,1690326,86418,4.9
CO,Colorado,8,Colorado,1,State,0,1990,3,Monthly,12,1,1,2018,1780570,1690906,89664,5
CO,Colorado,8,Colorado,1,State,0,1991,1,Annual,0,0,0,2018,1794287,1700069,94218,5.3
CO,Colorado,8,Colorado,1,State,0,1991,1,Annual,0,1,1,2018,1794826,1700644,94182,5.2
CO,Colorado,8,Colorado,1,State,0,1991,3,Monthly,1,0,0,2018,1758805,1656223,102582,5.8
